Uncalibrated Elapsed Time (s),Bolt Ticks (#),Bolt Distance (m),Uncertainty (m)
0.00,-7.00,0.00,0.00
0.01,-7.00,0.00,0.00
1.10,-2.00,5.00,0.50
3.00,15.50,22.50,0.50
4.00,27.00,34.00,0.40
4.50,34.30,41.30,0.50
5.40,45.10,52.10,0.50
5.80,48.90,55.90,0.50
6.20,54.50,61.50,0.50
6.50,57.80,64.80,0.40
6.90,62.60,69.60,0.20
7.30,66.30,73.30,0.20
7.70,71.50,78.50,0.20
8.00,74.70,81.70,0.20
8.30,78.60,85.60,0.20
8.60,82.20,89.20,0.20
8.80,84.30,91.30,0.20
9.40,91.60,98.60,0.20
9.69,93.00,100.00,0.00
13.00,105.00,112.00,5.00
